propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
112414389,1329000.0,042,04,False,False,False,False,False,False,103.0,2,2,636304.5,1.8766123722225168,1194096.8972008624,0.0019512838033895418,2330.0219351857495,False,False,False,False,False,Salamanca,19.77461679945292,1.1129750048889417
111805230,945000.0,054,05,False,False,False,False,False,False,102.0,3,2,535197.56,1.6700715368729793,893818.2157350474,0.0023384882833218804,2090.183424916077,False,False,False,False,False,Chamartín,18.388855162033455,1.0572619615084287
112379020,1395000.0,092,09,False,False,False,False,False,False,153.0,3,3,791421.1,1.656751140660718,1311187.8515867388,0.002672415723312596,3504.0390307968637,False,False,False,False,False,Moncloa-Aravaca,16.62527833062531,1.0639207786373521
112395887,2900000.0,015,01,False,False,False,False,False,False,304.0,3,4,1.6054831e+06,1.558745921449614,2502540.2730499306,0.0025264030793100585,6322.42545193078,False,False,False,False,False,Centro,18.93916135071505,1.1588225097635179
112277850,695000.0,052,05,False,False,False,False,False,False,99.0,4,2,,1.6700715368729793,,0.0023384882833218804,,False,False,True,False,True,Chamartín,18.388855162033455,
112212715,2230000.0,045,04,False,False,False,False,False,False,150.0,4,3,833893.6,1.8766123722225168,1564895.093792484,0.0019512838033895418,3053.554450521032,False,False,False,False,False,Salamanca,19.77461679945292,1.4250156504712728
112251642,500000.0,073,07,False,False,False,False,False,False,68.0,3,1,259972.48,1.6853880807988142,438154.52650128095,0.002278740199336892,998.4403330598905,False,False,False,False,False,Chamberí,19.980022301161203,1.1411499134621819
111471582,4750000.0,046,04,False,False,False,False,False,True,444.0,6,7,,1.8766123722225168,,0.0019512838033895418,,False,True,False,False,True,Salamanca,19.77461679945292,
111816525,1400000.0,044,04,False,False,False,False,False,False,178.0,4,3,699036.44,1.8766123722225168,1311820.427246852,0.0019512838033895418,2559.733952642331,False,False,False,False,False,Salamanca,19.77461679945292,1.0672192404704448
112439503,890000.0,163,16,False,False,False,False,False,False,171.0,4,3,722789.25,1.6317102565250337,1179382.6325310366,0.0027028857740617703,3187.7365396436594,False,False,False,False,False,Hortaleza,14.589315759435864,0.7546321061977982
112450752,875000.0,075,07,False,False,False,False,False,False,102.0,2,2,557198.2,1.6853880807988142,939095.1838552029,0.002278740199336892,2139.95394645452,False,False,False,False,False,Chamberí,19.980022301161203,0.9317479367830668
111177553,1990000.0,041,04,False,False,False,False,False,True,128.0,2,2,937292.06,1.8766123722225168,1758933.8808734603,0.0019512838033895418,3432.179192981493,False,False,False,False,False,Salamanca,19.77461679945292,1.1313671432673726
112143390,1050000.0,042,04,False,False,False,False,False,False,74.0,2,3,415117.56,1.8766123722225168,779014.7537143539,0.0019512838033895418,1520.0788715243116,False,False,False,False,False,Salamanca,19.77461679945292,1.347856372416035
112438779,875000.0,075,07,False,False,False,False,False,False,102.0,2,2,605437.75,1.6853880807988142,1020397.5675156523,0.002278740199336892,2325.2209564034974,False,False,False,False,False,Chamberí,19.980022301161203,0.8575089042306817
111880607,2380000.0,074,07,False,False,False,False,False,False,248.0,4,3,1.4790164e+06,1.6853880807988142,2492716.5697312695,0.002278740199336892,5680.2534529998065,False,False,False,False,False,Chamberí,19.980022301161203,0.954781634181771
110438329,785000.0,042,04,False,False,False,False,False,False,68.0,2,2,450455.94,1.8766123722225168,845331.1854535928,0.0019512838033895418,1649.4810506756767,False,False,False,False,False,Salamanca,19.77461679945292,0.9286301197781791
110961237,1240000.0,015,01,False,False,False,False,False,False,120.0,2,2,650877.44,1.558745921449614,1014552.5510667011,0.0025264030793100585,2563.168689136789,False,False,False,False,False,Centro,18.93916135071505,1.2222136731076803
110929095,1990000.0,075,07,False,False,False,False,False,False,182.0,3,4,1.0907486e+06,1.6853880807988142,1838334.7317226955,0.002278740199336892,4189.087253013708,False,False,False,False,False,Chamberí,19.980022301161203,1.0825014431050757
109528089,1599000.0,015,01,False,False,False,False,False,False,176.0,3,4,943829.3,1.558745921449614,1471190.0914039682,0.0025264030793100585,3716.8191771734314,False,False,False,False,False,Centro,18.93916135071505,1.0868751831206678
109736044,2890000.0,046,04,False,False,False,False,False,True,276.0,4,5,2.0929665e+06,1.8766123722225168,3927686.828547258,0.0019512838033895418,7664.0316933307,False,False,False,False,False,Salamanca,19.77461679945292,0.7358020448562419
112459934,1100000.0,013,01,False,False,True,False,False,False,90.0,2,1,,1.558745921449614,,0.0025264030793100585,,False,False,True,False,True,Centro,18.93916135071505,
111378666,2690000.0,092,09,False,False,False,False,False,False,274.0,4,5,1.3605341e+06,1.656751140660718,2254066.463501582,0.002672415723312596,6023.802658453245,False,False,False,False,False,Moncloa-Aravaca,16.62527833062531,1.1933987056536108
109462624,3849000.0,046,04,False,False,False,False,False,True,433.0,5,5,,1.8766123722225168,,0.0019512838033895418,,False,True,False,False,True,Salamanca,19.77461679945292,
110675609,399900.0,011,01,False,False,False,False,False,False,66.0,1,1,344753.9,1.558745921449614,537383.7452710101,0.0025264030793100585,1357.647948823852,False,False,False,False,False,Centro,18.93916135071505,0.744160952985887
112271368,2290000.0,042,04,False,False,False,False,False,False,204.0,4,2,1.2595515e+06,1.8766123722225168,2363689.9283514293,0.0019512838033895418,4612.229873427131,False,False,False,False,False,Salamanca,19.77461679945292,0.9688241983571741
111968361,1875000.0,015,01,False,False,False,False,False,False,243.0,4,3,,1.558745921449614,,0.0025264030793100585,,False,False,True,False,True,Centro,18.93916135071505,
109866350,1950000.0,012,01,False,False,False,False,False,False,265.0,3,3,1.2025901e+06,1.558745921449614,1874532.4525193314,0.0025264030793100585,4735.824560311475,False,False,False,False,False,Centro,18.93916135071505,1.0402593976856693
110929296,670000.0,044,04,False,False,False,False,False,False,73.0,2,2,372044.44,1.8766123722225168,698183.1944290668,0.0019512838033895418,1362.3535590882095,False,False,False,False,False,Salamanca,19.77461679945292,0.9596335250490906
111927252,1325000.0,044,04,False,False,False,False,False,False,179.0,3,3,744264.5,1.8766123722225168,1396695.9689060054,0.0019512838033895418,2725.3502223857513,False,False,False,False,False,Salamanca,19.77461679945292,0.9486674476749848
111984194,1390000.0,042,04,False,False,False,False,False,False,151.0,3,3,,1.8766123722225168,,0.0019512838033895418,,False,False,True,False,True,Salamanca,19.77461679945292,
111956132,5500000.0,162,16,False,False,True,True,False,False,900.0,6,6,,1.6317102565250337,,0.0027028857740617703,,True,True,False,False,True,Hortaleza,14.589315759435864,
111662130,1750000.0,013,01,False,False,False,False,False,False,219.0,2,2,978152.06,1.558745921449614,1524690.5379794028,0.0025264030793100585,3851.982870146073,False,False,False,False,False,Centro,18.93916135071505,1.1477738966749205
112273109,1800000.0,063,06,False,False,False,False,False,False,277.0,3,3,,1.7497591043844554,,0.002978418922071256,,False,False,True,False,True,Tetuán,17.333396740317067,
111506085,2050000.0,054,05,False,False,False,False,False,True,217.0,4,5,1.2132319e+06,1.6700715368729793,2026184.0220645363,0.0023384882833218804,4738.2075954519205,False,False,False,False,False,Chamartín,18.388855162033455,1.0117541041070874
111225081,2370000.0,013,01,False,False,False,False,False,False,248.0,3,4,1.4127915e+06,1.558745921449614,2202182.9884836823,0.0025264030793100585,5563.601883309402,False,False,False,False,False,Centro,18.93916135071505,1.0762048441904768
111946989,2900000.0,074,07,False,False,False,False,False,False,250.0,3,3,1.7627705e+06,1.6853880807988142,2970952.389883766,0.002278740199336892,6770.028641144148,False,False,False,False,False,Chamberí,19.980022301161203,0.9761179646885753
111360988,1620000.0,166,16,False,False,False,False,False,False,278.0,3,2,790755.0,1.6317102565250337,1290283.043898453,0.0027028857740617703,3487.487683866247,False,False,False,False,False,Hortaleza,14.589315759435864,1.2555384709275434
112184981,735000.0,045,04,False,False,False,False,False,False,85.0,1,1,475169.56,1.8766123722225168,891709.0798910605,0.0019512838033895418,1739.9774849268172,False,False,False,False,False,Salamanca,19.77461679945292,0.8242598584841083
110993885,3150000.0,016,01,False,False,False,False,False,False,438.0,4,4,,1.558745921449614,,0.0025264030793100585,,False,True,False,False,True,Centro,18.93916135071505,
111928796,3025000.0,046,04,False,False,False,False,False,True,236.0,4,5,1.8731071e+06,1.8766123722225168,3515096.0052731484,0.0019512838033895418,6858.949902448774,False,False,False,False,False,Salamanca,19.77461679945292,0.8605739346697974
112504775,1798000.0,071,07,False,False,False,False,False,False,235.0,4,5,1.1268912e+06,1.6853880807988142,1899249.0811064767,0.002278740199336892,4327.895229670982,False,False,False,False,False,Chamberí,19.980022301161203,0.9466899407172595
111721778,2250000.0,054,05,False,False,False,False,False,False,218.0,5,3,1.2005401e+06,1.6700715368729793,2004987.8916364287,0.0023384882833218804,4688.640692794029,False,False,False,False,False,Chamartín,18.388855162033455,1.1222012907836554
111608763,1875000.0,072,07,False,False,False,False,False,False,243.0,4,2,1.1429312e+06,1.6853880807988142,1926282.7059224898,0.002278740199336892,4389.497837273022,False,False,False,False,False,Chamberí,19.980022301161203,0.9733773730279478
111688545,790000.0,034,03,False,False,False,False,False,False,92.0,2,1,460663.0,1.7929648066474984,825952.5467246565,0.0021651669060346315,1788.3251201232488,False,False,False,False,False,Retiro,17.253540940727106,0.9564714136820238
112021492,580000.0,044,04,False,False,False,False,False,False,79.0,1,1,356226.12,1.8766123722225168,668498.3534838848,0.0019512838033895418,1304.4300097456812,False,False,False,False,False,Salamanca,19.77461679945292,0.8676161982708336
112055408,4850000.0,041,04,False,False,False,False,False,True,300.0,4,5,2.0153485e+06,1.8766123722225168,3782027.929440091,0.0019512838033895418,7379.809842683334,False,False,False,False,False,Salamanca,19.77461679945292,1.2823807995299539
110822401,695000.0,052,05,False,False,False,False,False,False,85.0,3,2,332197.0,1.6700715368729793,554792.7543345931,0.0023384882833218804,1297.3763556833203,False,False,False,False,False,Chamartín,18.388855162033455,1.252720037473396
110756347,1995000.0,062,06,False,False,False,False,False,False,277.0,4,4,,1.7497591043844554,,0.002978418922071256,,False,False,True,False,True,Tetuán,17.333396740317067,
111313055,675000.0,044,04,False,False,False,False,False,False,73.0,2,2,353126.84,1.8766123722225168,662682.2039451376,0.0019512838033895418,1293.0810513526321,False,False,False,False,False,Salamanca,19.77461679945292,1.0185877876024603
111917901,1490000.0,046,04,False,False,False,False,False,True,193.0,4,2,878828.25,1.8766123722225168,1649219.967008663,0.0019512838033895418,3218.096209850639,False,False,False,False,False,Salamanca,19.77461679945292,0.9034574100521869
112424521,1350000.0,035,03,False,False,False,False,False,False,128.0,4,2,515747.44,1.7929648066474984,924717.0045561303,0.0021651669060346315,2002.1666557124088,False,False,False,False,False,Retiro,17.253540940727106,1.4599061046227955
